analysis Fp 100;150;200, baseline, 2026-04-15 15_08_04.scan
Wavelength ( nm );Absorbance
450; -0,020718848332762718
449,573333333; -0,018936317414045334
449,146666667; -0,019482951611280441
448,72; -0,019833868369460422
448,293333333; -0,022215681150555597
447,866666667; -0,022114919498562525
447,44; -0,019943140447139851
447,013333333; -0,020766785368323295
446,586666667; -0,020541410893202074
446,16; -0,022385198622941537
445,733333333; -0,020763169974088759
445,306666667; -0,021098760887981162
444,88; -0,023728784173726945
444,453333333; -0,02339286170899808
444,026666667; -0,021136319264769429
443,6; -0,020672900602222506
443,173333333; -0,023215439170599095
442,746666667; -0,023493323475122278
442,32; -0,023057645186781918
441,893333333; -0,0231401342898611
441,466666667; -0,024077169597148753
441,04; -0,023725369945167982
440,613333333; -0,022759739309549529
440,186666667; -0,023130040615797574
439,76; -0,024127118289471405
439,333333333; -0,025497896596788045
438,906666667; -0,023029269650578825
438,48; -0,023640422150492842
438,053333333; -0,023898435756565684
437,626666667; -0,026218323037026384
437,2; -0,023324579000473661
436,773333333; -0,024282049387694595
436,346666667; -0,026069186627865969
435,92; -0,027483150362965281
435,493333333; -0,02352599799633083
435,066666667; -0,024236930534247688
434,64; -0,029370300471779666
434,213333333; -0,025594778358936421
433,786666667; -0,025731524452569689
433,36; -0,02850806340575214
432,933333333; -0,028461975976822415
432,506666667; -0,025947187095880984
432,08; -0,0264580734074133
431,653333333; -0,028306448832154101
431,226666667; -0,028120623901485276
430,8; -0,027068531140687139
430,373333333; -0,028999121859669463
429,946666667; -0,028792057186363913
429,52; -0,027653150260450867
429,093333333; -0,029915207996960562
428,666666667; -0,026668703183534873
428,24; -0,029262747615578566
427,813333333; -0,031577162444593472
427,386666667; -0,033204957842821209
426,96; -0,028506560251117349
426,533333333; -0,029003484174612543
426,106666667; -0,031803596764798985
425,68; -0,028838135302069148
425,253333333; -0,030599493533374794
424,826666667; -0,032036371529104879
424,4; -0,033952433615919889
423,973333333; -0,03167242184281107
423,546666667; -0,030020657926802658
423,12; -0,033289533108472581
422,693333333; -0,033126138150688968
422,266666667; -0,03106461092829247
421,84; -0,027944764122377862
421,413333333; -0,035420030355449147
420,986666667; -0,032701868563891172
420,56; -0,033148597925901031
420,133333333; -0,032910436391832748
419,706666667; -0,034353077411653617
419,28; -0,035609234124420602
418,853333333; -0,034687243402003284
418,426666667; -0,034135788679126589
418; -0,036251522600653084
417,573333333; -0,03757596760987373
417,146666667; -0,032594192773106899
416,72; -0,034433621913201255
416,293333333; -0,037971232086418623
415,866666667; -0,037200231105082596
415,44; -0,033665586262945371
415,013333333; -0,035815436393025216
414,586666667; -0,037250593304628855
414,16; -0,034442514181140152
413,733333333; -0,03608685359359174
413,306666667; -0,038019355386499878
412,88; -0,040164437144987783
412,453333333; -0,03668518364429689
412,026666667; -0,037762619555000015
411,6; -0,039527263492340842
411,173333333; -0,037197336554535519
410,746666667; -0,041062366217367946
410,32; -0,037845429033038495
409,893333333; -0,036669630557305731
409,466666667; -0,039987526834005464
409,04; -0,037355586886405473
408,613333333; -0,037147231400016516
408,186666667; -0,038712881505495539
407,76; -0,041446313261981609
407,333333333; -0,039604779332878357
406,906666667; -0,040553178638222644
406,48; -0,041794087737800113
406,053333333; -0,042386610060925742
405,626666667; -0,040506370365620818
405,2; -0,040989503264432292
404,773333333; -0,043117944151170075
404,346666667; -0,046025376766907017
403,92; -0,040860474109639978
403,493333333; -0,037035282701277067
403,066666667; -0,04619142785668523
402,64; -0,046782806515685629
402,213333333; -0,043608281761401212
401,786666667; -0,040983941406024182
401,36; -0,045960862189534664
400,933333333; -0,047214247286314522
400,506666667; -0,045258976519100491
400,08; -0,042509533464919015
399,653333333; -0,046419158577927271
399,226666667; -0,04952176660297334
398,8; -0,042491335421803507
398,373333333; -0,043526727706209543
397,946666667; -0,049108780920491139
397,52; -0,043968543410306288
397,093333333; -0,045783877372736211
396,666666667; -0,043823108077068941
396,24; -0,050540521740909922
395,813333333; -0,04935671389101922
395,386666667; -0,04589889571070882
394,96; -0,046617988497021583
394,533333333; -0,047561462968596861
394,106666667; -0,050627965480069391
393,68; -0,044167213141922547
393,253333333; -0,045591901987806292
392,826666667; -0,050562083721168979
392,4; -0,053202196955670591
391,973333333; -0,049856297671792081
391,546666667; -0,048976991325630069
391,12; -0,053114920854579667
390,693333333; -0,056612696498604148
390,266666667; -0,047766368836164398
389,84; -0,047743249684592926
389,413333333; -0,054219674319025843
388,986666667; -0,053277362138018057
388,56; -0,048816997557883379
388,133333333; -0,050282716751118291
387,706666667; -0,056184146553277484
387,28; -0,056038897484529213
386,853333333; -0,052517075091596387
386,426666667; -0,051353625953213251
386; -0,05590759217738038
385,573333333; -0,052827656269055133
385,146666667; -0,047528211027390806
384,72; -0,049549873918329379
384,293333333; -0,059133134782314335
383,866666667; -0,059143908321827317
383,44; -0,050765279680509104
383,013333333; -0,055939234793190282
382,586666667; -0,057076398283235241
382,16; -0,054870519787068132
381,733333333; -0,053480498492720935
381,306666667; -0,054335344582826892
380,88; -0,062590777873972381
380,453333333; -0,057084579020734244
380,026666667; -0,05591711029410984
379,6; -0,057583514601001411
379,173333333; -0,059966657310714537
378,746666667; -0,057450477033842519
378,32; -0,054599974304441946
377,893333333; -0,055715437978549998
377,466666667; -0,067080095410318785
377,04; -0,060025479644525974
376,613333333; -0,057179633527995863
376,186666667; -0,057606227695971485
375,76; -0,065001666545850281
375,333333333; -0,060588944703318041
374,906666667; -0,054963007569458912
374,48; -0,091458156704662411
374,053333333; -0,033288083970598722
373,626666667; -0,045879442244834347
373,2; -0,061908800155032383
372,773333333; -0,088056363165165019
372,346666667; -0,03635002300139991
371,92; -0,028724148869704598
371,493333333; -0,073322236537938942
371,066666667; -0,074633643030933686
370,64; -0,030860062688616807
370,213333333; -0,03735960274944837
369,786666667; -0,060976825654669796
369,36; -0,099236212670656798
368,933333333; -0,065967105328906844
368,506666667; -0,036429241299737687
368,08; -0,061102557927536549
367,653333333; -0,098968707024835539
367,226666667; -0,049934305250533641
366,8; -0,025419233367052596
366,373333333; -0,070799477398501592
365,946666667; -0,094211302697469593
365,52; -0,052498366683692232
365,093333333; -0,04602715373051177
364,666666667; -0,071614921093091893
364,24; -0,094757586717468742
363,813333333; -0,065409407019445365
363,386666667; -0,028992138803178646
362,96; -0,066184848547162764
362,533333333; -0,10499016940563716
362,106666667; -0,040645379573201558
361,68; -0,060409754514831222
361,253333333; -0,088976591825536674
360,826666667; -0,099702909588527733
360,4; -0,040061715990305481
359,973333333; -0,040173489600673642
359,546666667; -0,091628812253472344
359,12; -0,091052360832510157
358,693333333; -0,054326962679530404
358,266666667; -0,0352263711395749
357,84; -0,093438550829891623
357,413333333; -0,094296395778441275
356,986666667; -0,050733756273984805
356,56; -0,050713647157050158
356,133333333; -0,069745086133672862
355,706666667; -0,10782640427330012
355,28; -0,066372670233201161
354,853333333; -0,0567927882076582
