analysis Fp 100;150;200, baseline, 2026-04-13 15_11_03.scan
Wavelength ( nm );Absorbance
450; 0,0060414550825953484
449,573333333; 0,0070676980540156364
449,146666667; 0,0055956537835299969
448,72; 0,0027292752638461036
448,293333333; 0,0041019376367332997
447,866666667; 0,0059402454644438161
447,44; 0,0033545896876603703
447,013333333; 0,0036080372519792171
446,586666667; 0,0043922914192080498
446,16; 0,0043928450904782788
445,733333333; 0,0029667608905582957
445,306666667; 0,0027173103298997105
444,88; 0,0046635796315965504
444,453333333; 0,0037114815786478922
444,026666667; 0,0029678528662768042
443,6; 0,0018631864804779775
443,173333333; 0,0031772942747922061
442,746666667; 0,0035046143457290965
442,32; 0,0028678160160772875
441,893333333; 0,0010964509565390733
441,466666667; 0,0029825242236259496
441,04; 0,0037073714192943715
440,613333333; 0,0012733917683371524
440,186666667; 0,0028802203014479115
439,76; 0,00027666476671784327
439,333333333; 0,0040367376059295447
438,906666667; 0,0043556741438791451
438,48; 0,0016150465235106955
438,053333333; 0,00054267788073310915
437,626666667; 0,0044896714389312921
437,2; 0,0027982848696378763
436,773333333; -0,001989484764634578
436,346666667; -0,00051066145533334105
435,92; 0,004014404490587431
435,493333333; 0,00068128458224027595
435,066666667; -0,0019378855358786013
434,64; 0,00096689129714019526
434,213333333; 0,0021776736248282228
433,786666667; 0,0018834886141093944
433,36; -0,0010592584731057898
432,933333333; -0,0011247185757371539
432,506666667; 0,00017976139497576118
432,08; 0,0012365730944990457
431,653333333; -0,0020294140558674814
431,226666667; -0,00041917790076659132
430,8; -7,9083249148954453e-005
430,373333333; -0,001428946503437897
429,946666667; -0,0012801615521329107
429,52; -0,0029076919890924226
429,093333333; -0,00140996021218324
428,666666667; 0,00087438203627050086
428,24; -0,00073987949872798462
427,813333333; -0,0041511929593942313
427,386666667; -0,00098234310280508963
426,96; -0,00079318042844864212
426,533333333; -0,0035478312056535476
426,106666667; -0,0055357753299143725
425,68; -0,003061475465071494
425,253333333; -0,0010442564962460459
424,826666667; -0,003196350997314907
424,4; -0,0039845183491698929
423,973333333; -0,0033902490977161322
423,546666667; -0,00089539133478446203
423,12; -0,0042399885132918909
422,693333333; -0,0049285194836488719
422,266666667; -0,00027514863177710526
421,84; -0,0037407728377734186
421,413333333; -0,0040500457398645112
420,986666667; -0,0072829509153911395
420,56; -0,0041090799495547637
420,133333333; -0,00222145998850891
419,706666667; -0,0048872530460372793
419,28; -0,0058334195055033721
418,853333333; -0,003718161024153593
418,426666667; -0,0039261844940541527
418; -0,0072723827324833882
417,573333333; -0,008787272498004213
417,146666667; -0,0045283073559418269
416,72; -0,0053858873434416785
416,293333333; -0,008173219859598754
415,866666667; -0,007468908093872636
415,44; -0,0090506365522684887
415,013333333; -0,0059736957773600836
414,586666667; -0,0078284544870286295
414,16; -0,0093791652470745172
413,733333333; -0,0049868617206837215
413,306666667; -0,0062535507604459997
412,88; -0,0052629359997925671
412,453333333; -0,011104367673392268
412,026666667; -0,0087044667452509314
411,6; -0,005478516221055189
411,173333333; -0,009579069912437805
410,746666667; -0,011540305800727449
410,32; -0,0075518372468643177
409,893333333; -0,0072158584371261594
